LO freq. (MHz),Amp. Ratio VA1/VA2,Offset VOS1 (V),Offset VOS2 (V),Phase diff. P1-P2 (deg)
40.0,1.17501,-0.09937963333333333,-0.00672837,88.992
80.0,1.0352599999999998,-0.12665575,-0.21901674999999998,97.92
120.0,1.1490333333333334,-0.20436633333333332,-0.11715633333333332,100.224
160.0,0.9636190000000001,-0.06453914000000001,-0.152345,103.68000000000002
200.0,0.901285,-0.07395850000000001,-0.097885475,120.96
240.0,0.9568225,-0.03093335,-0.07935295,125.28
300.0,0.8552112,-0.1653326,-0.0865043,132.47999999999996
340.0,1.0096633333333334,-0.13446466666666668,-0.09429480000000001,136.32000000000002
